Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,Ligue,Saison,Home_form,Away_form,Home_avg_scored,Home_avg_conceded,Away_avg_scored,Away_avg_conceded,Form_diff,Avg_scored_diff,Avg_conceded_diff
2020-09-27,Sheffield United,Leeds,0,1,A,0,0,D,14,17,4,9,5,7,2,1,0,0,PL,22_21,0,3,0.0,1.5,3.5,3.5,-3,-3.5,-2.0
2020-09-28,Liverpool,Arsenal,3,1,H,2,1,H,21,4,8,3,7,3,2,2,0,0,PL,22_21,6,6,3.0,1.5,2.5,0.5,0,0.5,1.0
2020-09-28,Bologna,Parma,4,1,H,2,0,H,11,8,8,4,8,9,1,2,0,1,SA,20_21,0,0,0.0,2.0,0.0,2.0,0,0.0,0.0
2020-09-28,Fulham,Aston Villa,0,3,A,0,2,A,16,12,3,5,5,3,6,3,0,0,PL,22_21,0,3,1.5,3.5,1.0,0.0,-3,0.5,3.5
2020-09-29,Getafe,Betis,3,0,H,3,0,H,8,10,4,2,1,4,4,4,0,1,LL,20_21,4,6,0.5,0.0,1.67,1.0,-2,-1.17,-1.0
2020-09-29,Sociedad,Valencia,0,1,A,0,0,D,11,9,3,5,9,3,1,5,0,0,LL,20_21,5,4,1.33,0.33,2.0,1.67,1,-0.6699999999999999,-1.3399999999999999
2020-09-30,Huesca,Ath Madrid,0,0,D,0,0,D,9,16,3,2,5,7,1,0,0,0,LL,20_21,2,3,0.67,1.33,6.0,1.0,-1,-5.33,0.33000000000000007
2020-09-30,Villarreal,Alaves,3,1,H,2,1,H,10,8,6,3,2,0,0,2,0,0,LL,20_21,4,1,1.0,2.0,0.33,1.0,3,0.6699999999999999,1.0
2020-09-30,Eibar,Elche,0,1,A,0,1,A,12,5,4,2,3,2,2,2,0,0,LL,20_21,1,0,0.67,1.33,0.0,3.0,1,0.67,-1.67
2020-09-30,Real Madrid,Valladolid,1,0,H,0,0,D,15,11,5,5,4,7,2,1,0,0,LL,20_21,4,2,1.5,1.0,0.67,1.33,2,0.83,-0.33000000000000007
2020-09-30,Benevento,Inter,2,5,A,1,4,A,11,18,7,12,5,1,1,0,0,0,SA,20_21,3,3,3.0,2.0,4.0,3.0,0,-1.0,-1.0
2020-09-30,Udinese,Spezia,0,2,A,0,1,A,10,4,5,3,2,2,0,5,0,1,SA,20_21,0,0,0.0,1.0,1.0,4.0,0,-1.0,-3.0
2020-09-30,Lazio,Atalanta,1,4,A,0,3,A,11,8,8,6,7,3,7,2,0,0,SA,20_21,3,3,2.0,0.0,4.0,2.0,0,-2.0,-2.0
2020-10-01,Ath Bilbao,Cadiz,0,1,A,0,0,D,13,3,4,1,5,2,3,5,0,2,LL,20_21,3,3,1.0,1.5,1.0,1.67,0,0.0,-0.16999999999999993
2020-10-01,Sevilla,Levante,1,0,H,0,0,D,16,3,2,1,2,4,5,2,0,0,LL,20_21,3,3,3.0,1.0,2.5,2.5,0,0.5,-1.5
2020-10-01,Celta,Barcelona,0,3,A,0,1,A,10,6,3,3,3,7,5,5,0,1,LL,20_21,5,3,1.0,0.67,4.0,0.0,2,-3.0,0.67
2020-10-02,Fiorentina,Sampdoria,1,2,A,0,1,A,16,14,6,10,8,4,0,3,0,0,SA,20_21,3,0,2.0,2.0,1.0,3.0,3,1.0,-1.0
2020-10-03,Elche,Huesca,0,0,D,0,0,D,2,18,0,4,0,5,0,2,0,0,LL,20_21,3,3,0.5,1.5,0.5,1.0,0,0.0,0.5
2020-10-03,Ath Madrid,Villarreal,0,0,D,0,0,D,14,6,1,2,9,1,1,2,0,0,LL,20_21,4,7,3.0,0.5,1.5,1.75,-3,1.5,-1.25
2020-10-03,Sassuolo,Crotone,4,1,H,1,0,H,7,10,4,6,3,4,2,3,0,0,SA,20_21,4,0,2.5,1.0,0.5,3.0,4,2.0,-2.0
2020-10-03,Sociedad,Getafe,3,0,H,1,0,H,11,5,6,1,5,4,3,3,0,0,LL,20_21,5,7,1.0,0.5,1.33,0.0,-2,-0.33000000000000007,0.5
